q1_bar,q2_bar,q1_dot_bar,q2_dot_bar,u1_bar,u2_bar
-0.6963523813446064,0.0016191344945268187,1.8846731920581605,0.0011246728276257374,-0.080363609805083,-0.02053540187243884
-0.6489395062881055,0.0016349728996097447,1.9027756573169077,-0.0002915718969460122,-0.04151360979250304,-0.009399311483462567
-0.6006659918743064,0.001652471276510265,1.9530740275054883,0.0011432679586801486,-0.06998933328793033,-0.0179472702439727
-0.5515874046807787,0.0016647275305717464,1.9671788411827873,-0.0007109455434476141,-0.03563442933839761,-0.008379385652895144
-0.5017120485651506,0.001678133847842614,2.0163659764519832,0.001121647235007672,-0.0585265519514327,-0.015088786225889862
-0.4510933242966089,0.0016877194331175601,2.0266465272705285,-0.0010166127213720184,-0.02912227752796437,-0.007231928378167508
-0.3997443675245883,0.0016984911054299912,2.074395394240234,0.0011204996120014403,-0.046075761678957244,-0.011983670128763557
-0.34771732726737326,0.0017058521658420598,2.080889965410898,-0.0012894576649019026,-0.02201925439188993,-0.005968992668958703
-0.2950285447870337,0.001713673991320017,2.1270213678791006,0.0010725444342200156,-0.032738519233136,-0.008662173703870995
-0.2417259447415241,0.0017173464459614032,2.1299913408625986,-0.0016214021295875576,-0.014390627806617306,-0.0046087005407662715
-0.1878175069832776,0.0017198916038876203,2.1750136022057105,0.0009415769521012073,-0.018623341612274944,-0.005151435371675906
-0.13335878110003765,0.001720253666234283,2.1740135655174315,-0.0017960417712946826,-0.006450150771739229,-0.003189573096892401
-0.07837243570632123,0.0017302253627725266,2.2170177197507703,0.0014471006718249592,-0.0039006919946145634,-0.0014373645738574746
-0.022901705629847082,0.0017352749500123255,2.212764186037593,-0.0021898064253168155,0.0017522823801901346,-0.0017540909413074552
0.03303270532821996,0.0017304304186954611,2.253984907053747,0.0009628712773547918,0.011257627563174359,0.002316769310910055
0.08939739388656726,0.0017414499216647018,2.247186426793809,-0.000920686017306044,0.010184560876286539,-0.0001229096792536965
0.14613232015749877,0.0017497208278945324,2.2841357345995257,0.0007880082913987031,0.026406514705723593,0.0060590309380633015
0.20323062283688037,0.0017411325819961937,2.2762571615008467,-0.002269428356860953,0.018966631798784116,0.0014194307756519703
0.2606784847279088,0.0017307282253953276,2.3117655466597316,0.0005978906351500105,0.04154109812487543,0.009815170400350598
0.3184286514046406,0.0017290676205933024,2.3004416007858937,-0.0015699280501477518,0.027398820451693322,0.0030148417227052675
0.37643580051284314,0.0017232289691758002,2.3325962072437063,0.00035816140208260426,0.05637471018554809,0.01348067552861458
0.4346817222501414,0.0017097419748042775,2.319542246315203,-0.0021817956171262137,0.035626985554951515,0.004482499478799269
0.4931196586040891,0.0016894154844467179,2.348251509575803,-0.0001129593110835345,0.07066348296336544,0.01699788847803968
0.5517322245025054,0.0016706620357357172,2.333513278591159,-0.0020559602909229245,0.043449126948663847,0.005929247082786354
0.610467245319259,0.0016463525909047143,2.3584772155694007,-0.0003958424657296795,0.08415356225858048,0.020326325930327592
0.6693156020196585,0.0016255173188933869,2.342581921331485,-0.0017780304672408056,0.0507546768849283,0.007298103791301697
